 1. г : True, б : True, д : True, е : True, к : True, л : False,  2. г : False, л : True, й : True, о : True, м : True, щ : True,  3. с : True, р : True, у : True, т : True, х : True, ф : True,  4. к : False, т : False, ш : True, ы : True, ъ : True, э : True,  5. ё : True, в : True, ж : True, з : True, п : True, ч : True,  6. а : False, е : False, и : True, ц : True, я : True, ю : True,  7. а : True, и : False, о : False, м : False, н : False, ь : True,  8. о : False, н : True, р : False, у : False, х : False, ф : False,  - 8753  time: 2013-01-07 22:40:00
 1. г : True, б : True, д : True, е : True, к : True, л : False,  2. л : True, й : True, о : True, м : True, щ : True, ь : True,  3. с : True, р : True, у : True, т : True, х : True, ф : True,  4. к : False, т : False, ш : True, ы : True, ъ : True, э : True,  5. в : True, ж : True, з : True, и : False, п : True, ч : True,  6. а : False, е : False, и : True, ц : True, я : True, ю : True,  7. ё : True, г : False, а : True, о : False, м : False, н : False,  8. о : False, н : True, р : False, у : False, х : False, ф : False,  - 10040  time: 2013-01-07 22:40:36
 1. г : True, б : True, д : True, е : True, к : True, л : False,  2. л : True, й : True, о : True, м : True, щ : True, ь : True,  3. и : False, р : True, у : True, т : True, х : True, ф : True,  4. к : False, т : False, ш : True, ы : True, ъ : True, э : True,  5. в : True, ж : True, з : True, о : False, п : True, ч : True,  6. ё : True, а : False, е : False, и : True, ц : True, ю : True,  7. г : False, а : True, о : False, м : False, н : False, я : True,  8. н : True, с : True, р : False, у : False, х : False, ф : False,  - 10309  time: 2013-01-07 22:41:12
 1. г : True, б : True, д : True, е : True, к : True, л : False,  2. л : True, й : True, о : True, м : True, щ : True, ь : True,  3. и : False, р : True, у : True, т : True, х : True, ф : True,  4. к : False, т : False, ш : True, ы : True, ъ : True, э : True,  5. ж : True, з : True, о : False, п : True, н : False, ч : True,  6. ё : True, а : False, е : False, и : True, ц : True, ю : True,  7. в : True, г : False, а : True, о : False, м : False, я : True,  8. д : False, н : True, с : True, у : False, х : False, ф : False,  - 10442  time: 2013-01-07 22:43:18
 1. г : True, б : True, д : True, е : True, к : True, л : False,  2. е : False, й : True, о : True, м : True, щ : True, ь : True,  3. и : False, у : True, т : True, х : True, ф : True, ц : True,  4. к : False, т : False, ш : True, ы : True, ъ : True, э : True,  5. ж : True, з : True, о : False, п : True, н : False, ч : True,  6. ё : True, а : False, л : True, и : True, р : True, ю : True,  7. в : True, г : False, а : True, о : False, м : False, я : True,  8. а : False, н : True, с : True, у : False, х : False, ф : False,  - 11050  time: 2013-01-07 22:46:02
 1. г : True, б : True, д : True, е : True, к : True, л : False,  2. е : False, й : True, о : True, м : True, щ : True, ь : True,  3. в : True, и : False, т : True, х : True, ф : True, ц : True,  4. к : False, т : False, ш : True, ы : True, ъ : True, э : True,  5. ж : True, з : True, о : False, п : True, н : False, ч : True,  6. ё : True, а : False, л : True, и : True, р : True, ю : True,  7. г : False, а : True, о : False, м : False, у : True, я : True,  8. а : False, н : True, с : True, у : False, х : False, ф : False,  - 11089  time: 2013-01-07 22:47:31
 1. г : True, б : True, д : True, е : True, к : True, л : False,  2. е : False, й : True, о : True, м : True, щ : True, ь : True,  3. и : False, р : True, т : True, х : True, ф : True, ц : True,  4. к : False, т : False, ш : True, ы : True, ъ : True, э : True,  5. ж : True, з : True, о : False, п : True, н : False, ч : True,  6. ё : True, в : True, а : False, л : True, и : True, ю : True,  7. г : False, а : True, о : False, м : False, у : True, я : True,  8. а : False, н : True, с : True, у : False, х : False, ф : False,  - 11250  time: 2013-01-07 22:48:29
 1. г : True, б : True, д : True, е : True, к : True, л : False,  2. а : False, й : True, о : True, м : True, щ : True, ь : True,  3. и : False, р : True, т : True, х : True, ф : True, ц : True,  4. к : False, т : False, ш : True, ы : True, ъ : True, э : True,  5. ж : True, з : True, о : False, п : True, н : False, ч : True,  6. ё : True, в : True, а : False, л : True, и : True, ю : True,  7. г : False, а : True, о : False, м : False, у : True, я : True,  8. е : False, н : True, с : True, у : False, х : False, ф : False,  - 11271  time: 2013-01-07 22:49:30
 1. г : True, д : True, е : True, к : True, л : False, о : False,  2. а : False, й : True, о : True, м : True, щ : True, ь : True,  3. м : False, р : True, т : True, х : True, ф : True, ц : True,  4. к : False, т : False, ш : True, ы : True, ъ : True, э : True,  5. ж : True, з : True, о : False, п : True, н : False, ч : True,  6. ё : True, в : True, а : False, л : True, и : True, ю : True,  7. г : False, а : True, б : True, и : False, у : True, я : True,  8. е : False, н : True, с : True, у : False, х : False, ф : False,  - 11296  time: 2013-01-07 23:06:09
 1. г : True, д : True, е : True, к : True, л : False, о : False,  2. а : False, й : True, о : True, м : True, щ : True, ь : True,  3. м : False, р : True, т : True, х : True, ф : True, ц : True,  4. к : False, т : False, ш : True, ы : True, ъ : True, э : True,  5. ж : True, з : True, о : False, п : True, н : False, ч : True,  6. ё : True, в : True, а : False, л : True, и : True, ю : True,  7. г : False, б : True, е : False, и : False, у : True, я : True,  8. а : True, н : True, с : True, у : False, х : False, ф : False,  - 11458  time: 2013-01-07 23:09:02
 1. г : True, д : True, к : True, л : False, о : False, т : False,  2. а : False, й : True, о : True, м : True, щ : True, ь : True,  3. м : False, р : True, т : True, х : True, ф : True, ц : True,  4. е : True, к : False, ш : True, ы : True, ъ : True, э : True,  5. г : False, з : True, о : False, п : True, н : False, ч : True,  6. ё : True, в : True, а : False, л : True, и : True, ю : True,  7. б : True, ж : True, е : False, и : False, у : True, я : True,  8. а : True, н : True, с : True, у : False, х : False, ф : False,  - 11541  time: 2013-01-07 23:19:35
 1. д : True, к : True, л : False, о : False, у : False, т : False,  2. а : False, й : True, о : True, м : True, щ : True, ь : True,  3. м : False, р : True, т : True, х : True, ф : True, ц : True,  4. е : True, к : False, ш : True, ы : True, ъ : True, э : True,  5. ж : True, з : True, о : False, п : True, н : False, ч : True,  6. ё : True, в : True, а : False, л : True, и : True, ю : True,  7. г : False, б : True, е : False, и : False, у : True, я : True,  8. г : True, а : True, н : True, с : True, х : False, ф : False,  - 11641  time: 2013-01-07 23:20:13
 1. д : True, к : True, л : False, о : False, у : False, т : False,  2. а : False, й : True, о : True, м : True, щ : True, ь : True,  3. м : False, р : True, т : True, х : True, ф : True, ц : True,  4. е : True, к : False, ш : True, ы : True, ъ : True, э : True,  5. ж : True, з : True, о : False, п : True, н : False, ч : True,  6. ё : True, в : True, г : False, л : True, и : True, ю : True,  7. а : False, б : True, е : False, и : False, у : True, я : True,  8. г : True, а : True, н : True, с : True, р : False, ф : False,  - 12372  time: 2013-01-07 23:48:24
 1. д : True, к : True, л : False, о : False, у : False, т : False,  2. а : False, й : True, о : True, м : True, щ : True, ь : True,  3. м : False, р : True, т : True, х : True, ф : True, ц : True,  4. е : True, к : False, ш : True, ы : True, ъ : True, э : True,  5. ж : True, з : True, о : False, п : True, н : False, ч : True,  6. в : True, г : False, л : True, и : True, у : True, ю : True,  7. ё : True, а : False, б : True, е : False, и : False, я : True,  8. г : True, а : True, н : True, с : True, р : False, ф : False,  - 12504  time: 2013-01-07 23:52:29
 1. ё : True, д : True, л : False, м : False, у : False, т : False,  2. а : False, й : True, о : True, м : True, щ : True, ь : True,  3. к : True, р : True, т : True, х : True, ф : True, ц : True,  4. к : False, о : False, ш : True, ы : True, ъ : True, э : True,  5. ж : True, з : True, е : True, п : True, н : False, ч : True,  6. в : True, л : True, и : True, с : False, у : True, ю : True,  7. а : False, б : True, е : False, и : False, о : False, я : True,  8. г : True, а : True, н : True, с : True, р : False, ф : False,  - 12950  time: 2013-01-07 23:58:26
